rank,variant_id,tcg,name,set,collector_number,price_usd,psa10_pop,market_cap_usd,price_as_of,pop_as_of,origin,price_source
165,195,pokemon,Charizard V,S4a: Shiny Star V,307/190,240.698882,18777,4519602.907314,2026-07-24,2026-07-24,eval8_ready,eval8_reference
166,160,pokemon,Lillie's Clefairy ex,SV9: Battle Partners,126/100,206.250000,21762,4488412.5,2026-07-23,2026-07-24,eval8_ready,eval8_reference
167,212,pokemon,Flareon,SV-P Promotional cards「YU NAGABA×Pokemon Card Game」,065/SV-P,195.000000,22861,4457895.0,2026-07-25,2026-07-24,eval8_ready,eval8_reference
168,191,pokemon,Vaporeon ex,SV8a: Terastal Fest ex,205/187,115.596554,38528,4453704.032512,2026-07-25,2026-07-24,eval8_ready,eval8_reference
169,204,pokemon,Gengar & Mimikyu GX,SM9: Tag Bolt,038/095,352.898772,12559,4432055.677548,2026-07-25,2026-07-24,eval8_ready,eval8_reference
170,201,pokemon,Okuge,XY-P: XY Promos,221/XY-P,2290.915755,1921,4400849.165355,2026-07-25,2026-07-25,eval8_ready,eval8_reference
171,213,pokemon,Armored Mewtwo,SM-P: Sun & Moon Promos,365/SM-P,960.000000,4310,4137600.0,2026-07-23,2026-07-24,eval8_ready,eval8_reference
172,207,pokemon,Rosa,SM11b: Dream League,067/049,473.455923,8694,4116225.794562,2026-07-25,2026-07-24,eval8_ready,eval8_reference
173,205,pokemon,Mew,S12a: VSTAR Universe,183/172,138.676767,29087,4033691.121729,2026-07-25,2026-07-25,eval8_ready,eval8_reference
174,214,pokemon,Flareon ex,SV8a: Terastal Fest ex,202/187,109.554646,36543,4003455.428778,2026-07-25,2026-07-25,eval8_ready,eval8_reference
175,219,pokemon,Jolteon ex,SV8a: Terastal Fest ex,209/187,103.854848,37213,3864750.458624,2026-07-25,2026-07-24,eval8_ready,eval8_reference
176,215,pokemon,Team Rocket's Mewtwo ex,M2a: High Class Pack: MEGA Dream ex,237/193,238.853931,15880,3793000.42428,2026-07-25,2026-07-24,eval8_ready,eval8_reference
177,222,pokemon,Marnie,S4a: Shiny Star V,198/190,189.382369,19733,3737082.287477,2026-07-24,2026-07-24,eval8_ready,eval8_reference
178,187,pokemon,Eevee ex,SV8a: Terastal Fest ex,224/187,95.430387,38936,3715677.548232,2026-07-25,2026-07-24,eval8_ready,eval8_reference
179,210,pokemon,M Rayquaza EX,s8a-P: Promo Card Pack 25th Anniversary Edition,024/025,258.616898,14254,3686325.264092,2026-07-25,2026-07-24,eval8_ready,eval8_reference
180,218,pokemon,Leafeon,SV-P Promotional cards「YU NAGABA×Pokemon Card Game」,068/SV-P,166.167756,21862,3632759.481672,2026-07-25,2026-07-24,eval8_ready,eval8_reference
181,229,pokemon,Mega Dragonite ex,M2a: High Class Pack: MEGA Dream ex,250/193,524.424217,6837,3585488.371629,2026-07-25,2026-07-25,eval8_ready,eval8_reference
182,223,pokemon,Rayquaza VMAX,S8b: VMAX Climax,252/184,354.328304,9975,3534424.8324,2026-07-25,2026-07-24,eval8_ready,eval8_reference
183,196,pokemon,Mewtwo,SV2a: Pokemon Card 151,183/165,113.415603,30284,3434678.121252,2026-07-25,2026-07-24,eval8_ready,eval8_reference
184,233,pokemon,Kanazawa Pikachu No Mark S-P,No Mark,147/S-P,1325.676584,2578,3417594.233552,2026-07-24,2026-07-25,eval8_ready,eval8_reference
185,241,pokemon,Eevee ex,SV8a: Terastal Fest ex,223/187,100.012218,33365,3336907.65357,2026-07-25,2026-07-25,eval8_ready,eval8_reference
186,248,pokemon,Arceus & Dialga & Palkia GX,SM12: Alter Genesis,100/095,1081.312237,3034,3280701.327058,2026-07-24,2026-07-24,eval8_ready,eval8_reference
187,235,pokemon,Umbreon,SV8a: Terastal Fest ex,092/187,238.255239,13591,3238126.953249,2026-07-24,2026-07-25,eval8_ready,eval8_reference
188,243,pokemon,Reshiram & Zekrom GX,SM11b: Dream League,064/049,448.958397,7207,3235643.167179,2026-07-25,2026-07-24,eval8_ready,eval8_reference
189,251,pokemon,Mega Gardevoir ex,m1S: Mega Symphonia,087/063,160.425194,19949,3200322.195106,2026-07-25,2026-07-25,eval8_ready,eval8_reference
190,236,pokemon,Yokohama's Pikachu,SM-P: Sun & Moon Promos,283/SM-P,1062.374000,3011,3198808.114,2026-07-23,2026-07-24,eval8_ready,eval8_reference
191,237,pokemon,Pikachu,Illustration Contest 2024 Promo Card Commemoration Campaign for Award-Winning Works,242/SV-P,97.403629,32606,3175942.727174,2026-07-25,2026-07-24,eval8_ready,eval8_reference
192,246,pokemon,Blastoise,s8a-P: Promo Card Pack 25th Anniversary Edition,003/025,160.669558,19399,3116828.755642,2026-07-24,2026-07-25,eval8_ready,eval8_reference
193,255,pokemon,Reshiram ex,SV11W: White Flare,168/086,260.248030,11816,3075090.72248,2026-07-23,2026-07-24,eval8_ready,eval8_reference
194,254,pokemon,Zapdos ex,SV2a: Pokemon Card 151,204/165,205.467652,14596,2999005.848592,2026-07-25,2026-07-24,eval8_ready,eval8_reference
195,264,pokemon,Pikachu,SV-P,120/SV-P,77.567353,37250,2889383.89925,2026-07-25,2026-07-24,eval8_ready,eval8_reference
196,265,pokemon,Venusaur,s8a-P: Promo Card Pack 25th Anniversary Edition,002/025,144.327693,19925,2875729.283025,2026-07-25,2026-07-24,eval8_ready,eval8_reference
197,260,pokemon,Charmander,SV2a: Pokemon Card 151,168/165,105.382125,26741,2818023.404625,2026-07-25,2026-07-24,eval8_ready,eval8_reference
198,249,one-piece,Monkey D Luffy,Weekly Shonen JUMP 2023 36 37 combined issue supplement,P-043,204.056448,13694,2794348.998912,2026-07-25,2026-07-25,eval8_ready,eval8_reference
199,252,pokemon,Pikachu VMAX,S8b: VMAX Climax,223/184,267.578960,10435,2792186.4476,2026-07-25,2026-07-25,eval8_ready,eval8_reference
200,270,pokemon,Pikachu ex,SV8: Super Electric Breaker,136/106,264.218950,10275,2714849.71125,2026-07-25,2026-07-24,eval8_ready,eval8_reference
201,280,pokemon,Mew V,S8: Fusion Arts,106/100,328.000000,8110,2660080.0,2026-07-24,2026-07-25,eval8_ready,eval8_reference
202,282,pokemon,Cynthia's Garchomp ex,SV9a: Heat Wave Arena,087/063,303.421101,8733,2649776.475033,2026-07-25,2026-07-24,eval8_ready,eval8_reference
203,253,pokemon,Zekrom ex,SV11B: Black Bolt,169/086,210.000000,12508,2626680.0,2026-07-24,2026-07-25,eval8_ready,eval8_reference
204,266,pokemon,Mew ex,s8a-P: Promo Card Pack 25th Anniversary Edition,014/025,235.200684,11134,2618724.415656,2026-07-24,2026-07-24,eval8_ready,eval8_reference
205,276,one-piece,Boa Hancock SR-SPC,Extra Booster ONE PIECE Heroines edition,EB03-026,1634.186572,1550,2532989.1866,2026-07-24,2026-07-24,eval8_ready,eval8_reference
206,297,pokemon,M Gengar EX,Promotional Cards White Mega Gengar Campaign Gift For Purchasers of Eligible Products,079/XY-P,1282.301912,1960,2513311.74752,2026-07-23,2026-07-24,eval8_ready,eval8_reference
207,267,one-piece,Monkey D Luffy SEC-P,Booster Pack Awakening of the New Era,OP05-119,352.984300,7035,2483244.5505,2026-07-25,2026-07-24,eval8_ready,eval8_reference
208,277,pokemon,Pikachu VMAX,S4: Amazing Volt Tackle,114/100,665.892846,3679,2449819.780434,2026-07-24,2026-07-24,eval8_ready,eval8_reference
209,292,pokemon,Pikachu VMAX,Pika! Pika! Pikachu! Promotion Card Campaign,123/S-P,409.310282,5985,2449722.03777,2026-07-25,2026-07-24,eval8_ready,eval8_reference
210,325,pokemon,Reshiram,s8a-P: Promo Card Pack 25th Anniversary Edition,020/025,153.766266,15799,2429353.236534,2026-07-24,2026-07-25,eval8_ready,eval8_reference
211,295,pokemon,Charizard V,S12a: VSTAR Universe,211/172,115.920337,20912,2424126.087344,2026-07-25,2026-07-24,eval8_ready,eval8_reference
212,288,pokemon,Pikachu ex,SV8a: Terastal Fest ex,236/187,189.657279,12266,2326336.184214,2026-07-25,2026-07-25,eval8_ready,eval8_reference
213,300,pokemon,Zekrom,s8a-P: Promo Card Pack 25th Anniversary Edition,021/025,144.010019,16029,2308336.594551,2026-07-25,2026-07-25,eval8_ready,eval8_reference
214,275,pokemon,Pikachu,Pika! Pika! Pikachu! Promotion Card Campaign,124/S-P,189.382369,12118,2294935.547542,2026-07-25,2026-07-24,eval8_ready,eval8_reference
215,324,pokemon,Mega Lucario ex,m1L: Mega Brave,088/063,136.495815,16610,2267195.48715,2026-07-25,2026-07-24,eval8_ready,eval8_reference
216,320,pokemon,Pikachu,SV4a: Shiny Treasure ex,236/190,219.164274,10234,2242927.180116,2026-07-24,2026-07-24,eval8_ready,eval8_reference
217,332,pokemon,Pikachu V,S8b: VMAX Climax,222/184,294.459038,7545,2221693.44171,2026-07-23,2026-07-24,eval8_ready,eval8_reference
218,335,pokemon,Cynthia,SM5M: Ultra Moon,070/066,855.275215,2592,2216873.35728,2026-07-25,2026-07-25,eval8_ready,eval8_reference
219,337,pokemon,Lusamine,SM4A: Ultradimensional Beasts,055/050,1383.835298,1590,2200298.12382,2026-07-24,2026-07-24,eval8_ready,eval8_reference
220,333,pokemon,Gengar,S10a: Dark Phantasma,074/071,103.854848,20769,2156961.338112,2026-07-25,2026-07-24,eval8_ready,eval8_reference
221,339,pokemon,Mega Gengar ex,M2a: High Class Pack: MEGA Dream ex,230/193,70.163113,29945,2101034.418785,2026-07-25,2026-07-24,eval8_ready,eval8_reference
222,348,pokemon,Carmine,SV6: Transformation Mask,130/101,459.099517,4514,2072375.219738,2026-07-25,2026-07-24,eval8_ready,eval8_reference
223,336,pokemon,Meowth,Start Deck Generations Special Battle Set,192/SV-P,144.480420,14041,2028649.57722,2026-07-25,2026-07-24,eval8_ready,eval8_reference
224,349,pokemon,Gardevoir EX,CP3: PokeKyun Collection,019/032,909.572973,2215,2014704.135195,2026-07-24,2026-07-24,eval8_ready,eval8_reference
225,340,pokemon,Mewtwo V,S10b: Pokemon GO,074/071,262.691673,7482,1965459.097386,2026-07-23,2026-07-24,eval8_ready,eval8_reference
226,343,pokemon,Pikachu,S8a: 25th Anniversary Collection,001/028,63.534730,30680,1949245.5164,2026-07-25,2026-07-24,eval8_ready,eval8_reference
227,345,pokemon,Pikachu VMAX,S8b: VMAX Climax,279/184,305.455434,6379,1948500.213486,2026-07-25,2026-07-25,eval8_ready,eval8_reference
228,344,pokemon,Pikachu,S-P: Sword & Shield Promos,272/S-P,112.926874,17197,1942003.452178,2026-07-25,2026-07-24,eval8_ready,eval8_reference
229,350,pokemon,Shadow Rider Calyrex VMAX,S6K: Jet-Black Spirit,086/070,719.042092,2677,1924875.680284,2026-07-25,2026-07-24,eval8_ready,eval8_reference
230,351,pokemon,Shining Rayquaza,SM3+: Shining Legends,057/072,901.093530,2022,1822011.11766,2026-07-23,2026-07-24,eval8_ready,eval8_reference
231,357,pokemon,Mega Charizard X ex,M2: Inferno X,094/080,95.711406,17909,1714095.570054,2026-07-25,2026-07-24,eval8_ready,eval8_reference
232,352,pokemon,Pikachu ex,SV8: Super Electric Breaker,122/106,133.636752,12773,1706942.233296,2026-07-25,2026-07-24,eval8_ready,eval8_reference
233,358,pokemon,Pikachu VMAX,Monthly Coro Coro Comic February 2022 issue supplement,265/S-P,97.379192,17421,1696442.903832,2026-07-25,2026-07-24,eval8_ready,eval8_reference
234,353,pokemon,Mewtwo,SV2a: Pokemon Card 151,150/165,243.142526,6964,1693244.551064,2026-07-25,2026-07-24,eval8_ready,eval8_reference
235,356,pokemon,Roaring Moon ex,SV8a: Terastal Fest ex,218/187,71.476572,23177,1656612.509244,2026-07-25,2026-07-25,eval8_ready,eval8_reference
236,359,pokemon,Charizard ex,SV2a: Pokemon Card 151,185/165,114.851243,13466,1546586.838238,2026-07-24,2026-07-24,eval8_ready,eval8_reference
237,363,pokemon,Lillie's Determination,m1L: Mega Brave,086/063,131.406928,11605,1524977.39944,2026-07-24,2026-07-24,eval8_ready,eval8_reference
238,362,pokemon,Mewtwo EX,s8a-P: Promo Card Pack 25th Anniversary Edition,022/025,149.978618,10166,1524682.630588,2026-07-25,2026-07-24,eval8_ready,eval8_reference
239,341,pokemon,Ethan's Ho,SV9a: Heat Wave Arena,086/063,195.000000,7816,1524120.0,2026-07-24,2026-07-25,eval8_ready,eval8_reference
240,364,pokemon,Oricorio ex,M2: Inferno X,111/080,86.340033,17412,1503352.654596,2026-07-25,2026-07-25,eval8_ready,eval8_reference
241,369,pokemon,Cynthia,SM8b: GX Ultra Shiny,153/150,347.315047,4243,1473657.744421,2026-07-25,2026-07-24,eval8_ready,eval8_reference
242,311,one-piece,Dracule Mihawk SEC-SP Booster Pack THE AZURE SEA'S SEVEN,Comic Parallel,OP14-119,1069.094019,1358,1451829.677802,2026-07-24,2026-07-24,eval8_ready,eval8_reference
243,365,pokemon,Dark Gyarados,s8a-P: Promo Card Pack 25th Anniversary Edition,005/025,140.307899,10150,1424125.17485,2026-07-25,2026-07-24,eval8_ready,eval8_reference
244,370,pokemon,Mewtwo & Mew GX,SM12a: TAG TEAM GX: Tag All Stars,052/173,164.945934,8311,1370865.657474,2026-07-24,2026-07-24,eval8_ready,eval8_reference
245,368,pokemon,Radiant Charizard,S10b: Pokemon GO,011/071,96.377299,14211,1369617.796089,2026-07-25,2026-07-24,eval8_ready,eval8_reference
246,374,pokemon,Team Rocket's Moltres ex,SV10: The Glory of Team Rocket,124/098,207.709695,6459,1341596.920005,2026-07-25,2026-07-24,eval8_ready,eval8_reference
247,375,pokemon,Mega Dragonite ex,M2a: High Class Pack: MEGA Dream ex,232/193,56.533692,23057,1303497.336444,2026-07-25,2026-07-24,eval8_ready,eval8_reference
248,373,pokemon,Psyduck,M2a: High Class Pack: MEGA Dream ex,199/193,78.966339,16396,1294732.094244,2026-07-25,2026-07-24,eval8_ready,eval8_reference
249,378,pokemon,Pikachu,Promotional Cards WCS2024 Commemorative Campaign,197/SV-P,60.296903,19719,1188994.630257,2026-07-25,2026-07-24,eval8_ready,eval8_reference
250,379,pokemon,Green's Exploration,SM9b: Full Metal Wall,061/054,359.673774,3277,1178650.957398,2026-07-24,2026-07-24,eval8_ready,eval8_reference
251,273,pokemon,Haunter,MBG: MEGA Starter Set Mega Gengar ex,022/021,64.512188,18091,1167089.993108,2026-07-25,2026-07-24,eval8_ready,eval8_reference
252,381,pokemon,Meowth ex,M3: Nihil Zero,114/080,137.809274,7637,1052449.425538,2026-07-25,2026-07-24,eval8_ready,eval8_reference
253,383,pokemon,Rosa's Encouragement,M3: Nihil Zero,115/080,262.691673,3937,1034217.116601,2026-07-25,2026-07-24,eval8_ready,eval8_reference
254,380,pokemon,Gengar VMAX,SS: Gengar VMAX High-Class Deck,002/019,122.182174,8395,1025719.35073,2026-07-25,2026-07-24,eval8_ready,eval8_reference
255,384,pokemon,Darkrai VSTAR,S12a: VSTAR Universe,228/172,104.239721,9603,1001014.040763,2026-07-25,2026-07-25,eval8_ready,eval8_reference
256,389,pokemon,Mega Latias ex,m1S: Mega Symphonia,088/063,78.502047,12071,947598.209337,2026-07-25,2026-07-25,eval8_ready,eval8_reference
257,387,pokemon,Mega Gengar ex,MBG: MEGA Starter Set Mega Gengar ex,003/021,36.178142,24616,890561.143472,2026-07-25,2026-07-24,eval8_ready,eval8_reference
258,393,pokemon,Pikachu,Promotional Cards SV-P,291/SV-P,50.705602,16364,829746.471128,2026-07-25,2026-07-25,eval8_ready,eval8_reference
259,386,pokemon,Rayquaza,S3a: Legendary Heartbeat,056/076,232.146130,3526,818547.25438,2026-07-25,2026-07-24,eval8_ready,eval8_reference
260,390,pokemon,Mewtwo,Pokemon TCG Classic: Blastoise,014/032,118.516708,6622,784817.640376,2026-07-25,2026-07-24,eval8_ready,eval8_reference
261,392,pokemon,Surfing Pikachu VMAX,S8a: 25th Anniversary Collection,022/028,97.715193,7944,776249.493192,2026-07-25,2026-07-24,eval8_ready,eval8_reference
262,391,pokemon,Rayquaza VMAX,S8b: VMAX Climax,284/184,245.384568,3150,772961.3892,2026-07-25,2026-07-25,eval8_ready,eval8_reference
263,123,pokemon,Gengar,SV2a: Pokemon Card 151,094/165,118.516708,6212,736225.790096,2026-07-25,2026-07-24,eval8_ready,eval8_reference
264,394,pokemon,Surfing Pikachu V,S8a: 25th Anniversary Collection,021/028,97.440283,6332,616991.871956,2026-07-25,2026-07-24,eval8_ready,eval8_reference
265,395,pokemon,Mega Zygarde ex,M3: Nihil Zero,117/080,320.728206,1819,583404.606714,2026-07-24,2026-07-24,eval8_ready,eval8_reference
