rank,variant_id,tcg,name,set,collector_number,price_usd,psa10_pop,market_cap_usd,price_as_of,pop_as_of,origin,price_source
89,122,pokemon,Greninja ex,Scarlet Violet Shrouded Fable Greninja ex Special Illustration Collection,132/SVP,440.000000,14687,6462280.0,2026-07-25,2026-07-25,eval8_ready,eval8_reference
90,173,pokemon,Friends in Alola,SM-P: Sun & Moon Promos,401/SM-P,4256.014417,1514,6443605.827338,2026-07-24,2026-07-25,eval8_ready,eval8_reference
91,139,pokemon,Charizard GX,SM8b: GX Ultra Shiny,209/150,2238.988332,2842,6363204.839544,2026-07-25,2026-07-24,eval8_ready,eval8_reference
92,142,pokemon,Shibuya Pikachu,S-P,002/S-P,824.729672,7572,6244853.076384,2026-07-25,2026-07-25,eval8_ready,eval8_reference
93,136,pokemon,Pikachu,SM11b: Dream League,054/049,395.564787,15688,6205620.378456,2026-07-25,2026-07-24,eval8_ready,eval8_reference
94,166,pokemon,Tohoku's Pikachu,Special Box Pokemon Center Tohoku,260/SV-P,280.408088,21958,6157200.796304,2026-07-25,2026-07-24,eval8_ready,eval8_reference
95,144,pokemon,Clefairy,SM Promos,381/SM-P,565.000000,10867,6139855.0,2026-07-24,2026-07-25,eval8_ready,eval8_reference
96,148,pokemon,Lisia,SM7: Sky-Splitting Charisma,104/096,1780.805181,3365,5992409.434065,2026-07-25,2026-07-24,eval8_ready,eval8_reference
97,164,pokemon,Victini,Promotional Cards Victini BWR Competition Top Prize,288/SV-P,1710.550431,3498,5983505.407638,2026-07-24,2026-07-24,eval8_ready,eval8_reference
98,153,pokemon,Espeon ex,SV8a: Terastal Fest ex,211/187,150.974403,39070,5898569.92521,2026-07-25,2026-07-24,eval8_ready,eval8_reference
99,168,pokemon,Mew EX,Shiny Collection,024/020,7500.000000,785,5887500.0,2026-07-24,2026-07-24,derived_out_of_roster,ebay
100,143,pokemon,Greninja ex,SV5a: Crimson Haze,090/066,387.928401,14850,5760736.75485,2026-07-25,2026-07-24,eval8_ready,eval8_reference
